Title,Min Compensation,Max Compensation,Referral Bonus,Referral Link,Number of Openings,Full Job Description
Landscape Manager,1,2,100,https://jobs.micro1.ai/post/18d2124d-9cc1-472c-968f-5db976f09029?referralCode=61d1e811-aef5-4ec1-b95e-4ddeef056fa9&utm_source=referral&utm_medium=share&utm_campaign=job_referral,,"Job Title: Landscape Manager 

Job Type: Permanent

Location: Remote

Job Summary:

Join our customer’s team as a Landscape Manager - Ai training and play a vital role enabling AI systems to understand, interpret, and replicate the intricacies of landscape management. In this role, you'll bridge traditional landscape expertise with cutting-edge AI development, ensuring datasets and training scenarios are robust, accurate, and reflective of real-world challenges. We value clear communication, innovation, and a passion for bringing landscape management into the AI era.

Key Responsibilities:

• Oversee and curate landscape datasets for AI training, ensuring data integrity and relevance

• Collaborate closely with data scientists and AI engineers to design landscape scenarios for machine learning purposes

• Identify and address data gaps, inconsistencies, and potential biases within landscape-related datasets

• Develop and document best practices for data annotation, scenario simulation, and landscape management standards

• Lead remote workshops and communicate findings, updates, and needs with team members and stakeholders

• Analyze AI model outputs to ensure appropriate reflection of landscape management principles

• Stay informed about industry trends in landscape management and AI integration

Required Skills and Qualifications:

• Demonstrated experience in landscape management or a closely related field

• Strong understanding of AI concepts, data annotation, and machine learning workflows

• Excellent written and verbal communication skills; comfortable presenting complex concepts is essential

• Proficiency in digital tools for remote collaboration and project management

• Detail-oriented approach with a passion for quality data and process improvement

• Ability to work independently and as part of a dynamic, cross-functional team

• Creative problem-solving skills and adaptability in a fast-evolving technological environment

Preferred Qualifications:

• Previous experience contributing to AI training projects involving environmental or landscape data

• Familiarity with data privacy, ethics, and regulatory standards within the AI and environmental sectors

• Advanced technical skills in data analysis, GIS, or related platforms"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",18,60,100,https://jobs.micro1.ai/post/3899a2e6-a43c-4215-8328-94be9be3d5b3?referralCode=61d1e811-aef5-4ec1-b95e-4ddeef056fa9&utm_source=referral&utm_medium=share&utm_campaign=job_referral,,"Job Title: Sales Representative, Wholesale and Manufacturing, Except Technical and Scientific Products

Job Type: Contract

Location: Remote, United Stes

Job Summary

Join our customer's team as a Sales Representative focusing on Wholesale and Manufacturing.

This unique opportunity allows you to leverage your industry expertise not only to drive business development but also to train cutting-edge AI models that support and amplify sales processes. If you are passionate about sales and excited to contribute to the next generation of AI-driven sales solutions, we want to hear from you!

Key Responsibilities

- Identify, prospect, and engage new business customers within the wholesale and manufacturing sectors.
- Apply expert knowledge of product lines to present tailored solutions and close deals effectively.
- Cultivate lasting client relationships, ensuring a high level of satisfaction and repeat business.
- Negotiate pricing, terms, and contracts to maximize both customer satisfaction and organizational revenue.
- Document detailed sales processes, communication styles, and strategies to inform and train AI models.
- Collaborate with AI developers to offer real-world insights into sales methodologies and best practices.
- Support ongoing account growth by identifying new opportunities within existing client portfolios.

Required Skills and Qualifications

- 5+ years of successful sales experience in wholesale and manufacturing (excluding technical and scientific products).
- Experience configuring AI agents
- Proven track record in prospecting, closing, and exceeding sales targets.
- Demonstrated expertise in product knowledge, solution selling, and relationship management.
- Exceptional negotiation and conflict resolution abilities.
- Outstanding written and verbal communication skills, with the ability to articulate value propositions clearly.
- Experience in account growth and retention strategies.
- Ability to translate real-world sales expertise into actionable AI training data.

Preferred Qualifications

- Experience collaborating on technology or AI-based projects.
- Background in documenting or standardizing sales processes for training or onboarding.
- Familiarity with remote work environments and digital communication platforms."
Order Clerks,20,50,100,https://jobs.micro1.ai/post/15af9719-7cb8-4384-aa25-5b53220a00b0?referralCode=61d1e811-aef5-4ec1-b95e-4ddeef056fa9&utm_source=referral&utm_medium=share&utm_campaign=job_referral,,"Job Title: Order Clerks

Job Type: Contract

Location: Remote, United States

Job Summary:

Join our customer's team as an Order Clerk and play a crucial role in a cutting-edge AI agent project. You will leverage your expertise in order processing, customer service, and AI training to drive operational excellence and innovation. This dynamic remote position is ideal for professionals passionate about both order management and AI-driven solutions.

Key Responsibilities:

- Accurately process and manage a high volume of customer orders utilizing advanced AI agent models.
- Communicate promptly and professionally with customers to confirm orders, resolve inquiries, and ensure client satisfaction.
- Collaborate with cross-functional teams to optimize workflow, integrating AI tools to streamline order management processes.
- Identify, troubleshoot, and resolve order-related issues with a solutions-focused approach.
- Contribute to the training and refinement of order clerks AI agent models, providing feedback on system outputs and user interactions.
- Maintain meticulous order records and documentation for auditing and quality assurance purposes.
- Continuously assess and recommend workflow enhancements to maximize efficiency and accuracy.

Required Skills and Qualifications:

- Demonstrated accuracy and attention to detail in order processing environments.
- Strong written and verbal communication skills, with a customer-first mindset.
- Excellent organizational abilities and adeptness at workflow management in fast-paced settings.
- Proven problem-solving skills and the ability to resolve order discrepancies independently.
- Experience training or working with AI agent models, especially in an order management context.
- Ability to handle sensitive customer data in compliance with privacy standards.
- Tech-savvy, with proficiency in spreadsheets, order entry systems, and digital communication platforms.

Preferred Qualifications:

- 4+ years of experience specifically setting up order clerk AI agent models, or a balance of order clerks experience and AI agent model setup.
- Background in digital transformation projects within customer service or logistics functions.
- Experience working remotely with distributed teams."
Janitorial Supervisor,1,2,100,https://jobs.micro1.ai/post/589c5c29-9a80-4945-95b1-177cb87e7480?referralCode=61d1e811-aef5-4ec1-b95e-4ddeef056fa9&utm_source=referral&utm_medium=share&utm_campaign=job_referral,,"Job Title: Janitorial Supervisor

Job Type: Contract

Location: Remote

Job Summary

Join our customer's team as a Janitorial Supervisor, where you will bridge industry expertise with cutting-edge AI development. Your insights will shape the next generation of intelligent systems while guiding AI to better understand real-world supervisory scenarios in housekeeping and janitorial operations.

Key Responsibilities

- Collaborate with AI development teams to annotate, curate, and evaluate data for training advanced AI models in housekeeping and janitorial contexts.
- Utilize your supervisory experience to design realistic workflows and scenario-based data sets for machine learning purposes.
- Provide detailed feedback to AI trainers and engineers on emerging trends, best practices, and frontline challenges in cleaning and facility maintenance supervision.
- Ensure that AI models accurately reflect the nuances of task delegation, quality control, and safety compliance within housekeeping operations.
- Engage in regular review sessions to refine AI behavior, ensuring it aligns with industry standards and customer requirements.
- Document processes and communicate complex concepts clearly in both written and verbal formats to cross-functional teams.
- Champion the integration of practical supervisory knowledge into technological solutions to drive operational excellence.

Required Skills and Qualifications

- Proven experience as a first-line supervisor or team lead in housekeeping or janitorial services.
- Exceptional written and verbal communication skills, with the ability to convey detailed operational knowledge.
- Strong analytical skills and a keen eye for process optimization and documentation.
- Comfortable working remotely and collaborating with distributed, multidisciplinary teams.
- Experience using digital tools and platforms for communication and project management.
- Ability to translate frontline scenarios into structured data for AI training purposes.
- Commitment to maintaining high standards of safety, quality, and efficiency.

Preferred Qualifications

- Previous experience participating in AI or technology-driven projects.
- Background in process improvement, training, or quality assurance within facility management.
- Familiarity with data annotation or digital workflow documentation tools."
Robotics Software Engineer,130000,225000,1000,https://jobs.micro1.ai/post/ba89badf-bc62-4a21-854a-5279e0a86648?referralCode=61d1e811-aef5-4ec1-b95e-4ddeef056fa9&utm_source=referral&utm_medium=share&utm_campaign=job_referral,1,"Job Title: Robotics Software Engineer

Job Type: Full-time

Location: Remote

About Us:

micro1 is the end-to-end human data infrastructure behind AGI. Our AI recruiter model is used by frontier AI labs and Fortune 10s to source, vet, and deploy PhDs and professors from the world’s top universities at scale. These experts are placed directly into the training loops of the most advanced AI systems, powering the breakthroughs that move models forward. Our data platform converts their expertise into high-signal training datasets, and our talent management tooling measures, routes, and improves performance at scale.

The Role

Join our team as a Robotics Software Engineer and contribute to building data systems for advanced robotics applications. You will help develop and maintain pipelines for multi-camera and sensor data ingestion, supporting efficient capture, synchronization, and processing of high-throughput data.

What you'll be doing:

- Support the development of multi-camera ingestion pipelines for synchronized data capture.
- Work with DepthAI and camera systems to integrate and manage visual data streams.
- Help build and maintain video + sensor data pipelines.
- Assist in implementing calibration workflows for multi-camera and sensor setups.
- Work with MCAP and Protobuf for data recording and serialization.
- Contribute to high-throughput data capture systems.
- Troubleshoot and improve reliability of data pipelines.
- Document systems and workflows clearly.

What we're looking for:

- Experience with camera systems or video data pipelines.
- Familiarity with Python and/or C++.
- Basic understanding of sensor data handling and synchronization.
- Exposure to high-throughput or real-time data systems.
- Familiarity with MCAP, Protobuf, or similar tools is a plus.
- Understanding of camera or sensor calibration concepts.
- Strong problem-solving skills and willingness to learn.

Preferred:

- Experience with DepthAI or similar platforms.
- Exposure to robotics, embedded systems, or sensor-based applications.
- Familiarity with multi-sensor or multi-modal data pipelines."
Javascript Developer,20,55,100,https://jobs.micro1.ai/post/868637c8-224c-45e2-9fad-9d625ee3ec65?referralCode=61d1e811-aef5-4ec1-b95e-4ddeef056fa9&utm_source=referral&utm_medium=share&utm_campaign=job_referral,,"Job Title: Javascript Developer

Job Type: Contract

Location: Remote

Job Summary

Join our customer's team as a Javascript Developer and play a pivotal role in creating scalable, maintainable web applications. You will collaborate with talented engineers in a fully remote environment, leveraging your JavaScript expertise to deliver impactful solutions. This is a unique opportunity for an experienced developer who thrives in a communicative, high-performance setting.

Key Responsibilities

- Design, develop, and optimize robust, efficient, and reusable JavaScript code for web applications.
- Collaborate with cross-functional teams to define, design, and deliver new features and enhancements.
- Participate in code reviews, providing constructive feedback and best practices to foster continuous improvement.
- Troubleshoot, debug, and resolve complex technical issues across the application stack.
- Maintain comprehensive and precise documentation to ensure seamless team collaboration and project continuity.
- Stay updated with emerging trends and technologies to drive continuous innovation within the team.
- Leverage strong communication skills to articulate technical ideas clearly to both technical and non-technical stakeholders.

Required Skills and Qualifications

- Minimum 5 years of hands-on experience as a Javascript Developer in dynamic engineering environments.
- Proficient in vanilla JavaScript as well as modern frameworks and libraries.
- Excellent written and verbal English communication skills, with a keen attention to detail.
- Bachelor’s degree in Engineering, Computer Science, or a closely related field.
- Demonstrated ability to work effectively in remote and distributed teams.
- Strong problem-solving skills and an analytical mindset.
- Comfortable with agile methodologies and collaborative project management tools.

Preferred Qualifications

- Experience with TypeScript or other strongly-typed languages.
- Background in large-scale application development or cloud-native architectures.
- Previous exposure to mentorship or technical leadership roles."
Typescript Developer,20,55,100,https://jobs.micro1.ai/post/ae2e5e86-0c2e-409d-8035-12e96ca7fb32?referralCode=61d1e811-aef5-4ec1-b95e-4ddeef056fa9&utm_source=referral&utm_medium=share&utm_campaign=job_referral,,"Job Title: Typescript Developer

Job Type: Contract

Location: Remote

Job Summary:

Join our customer's team as a seasoned Typescript Developer and play a pivotal role in advancing innovative AI training solutions. You will collaborate with talented professionals to develop robust, scalable applications using Typescript, driving advancements at the intersection of software engineering and artificial intelligence. If you thrive in dynamic, fully remote environments and value clear written and verbal communication, this is the ideal opportunity for you.

Key Responsibilities:

- Design, implement, and maintain high-quality Typescript codebases tailored for AI model training.
- Collaborate closely with cross-functional teams to define, develop, and deliver scalable software solutions.
- Write clean, maintainable, and well-documented code adhering to best practices and coding standards.
- Optimize performance and ensure the reliability of key software modules integral to AI workflows.
- Participate in code reviews, offering constructive feedback and fostering a culture of continuous improvement.
- Effectively communicate technical concepts and progress through detailed documentation and clear verbal updates.
- Stay abreast of emerging trends in Typescript, AI technologies, and software engineering methodologies.

Required Skills and Qualifications:

- Bachelor’s degree in Engineering, Computer Science, or a related field.
- At least 5 years of professional experience in Typescript development.
- Demonstrated expertise in architecting and implementing robust Typescript applications.
- Excellent written and verbal English communication skills, with a passion for clarity and precision.
- Proven track record working effectively in remote, distributed environments.
- Strong problem-solving abilities and attention to detail in fast-paced settings.

Preferred Qualifications:

- Experience building or supporting AI/machine learning pipelines.
- Background in software solutions for data-intensive or research-driven domains.
- Active participation in open-source projects or developer communities."
Python Developer,20,55,100,https://jobs.micro1.ai/post/a37c55bd-58e3-4861-8a79-5f404bde2eeb?referralCode=61d1e811-aef5-4ec1-b95e-4ddeef056fa9&utm_source=referral&utm_medium=share&utm_campaign=job_referral,,"Job Title: Python Developer

Job Type: Contract

Location: Remote

Job Summary:

Join our customer's team as a Python Developer and contribute to the advancement of AI training initiatives. Leverage your expertise in Python to help drive innovative solutions in a dynamic, fully remote environment. Bring your excellent communication skills and technical acumen to a forward-thinking, collaborative setting.

Key Responsibilities:

- Design, develop, and maintain scalable Python applications for AI training and engineering projects.
- Collaborate closely with cross-functional teams to gather requirements and implement effective solutions.
- Write clean, efficient, and well-documented code, adhering to industry best practices and coding standards.
- Troubleshoot and debug existing applications, proactively identifying areas for improvement.
- Contribute to system architecture decisions and participate in code reviews.
- Communicate complex technical concepts clearly in both written and verbal form.
- Continuously learn and adapt to emerging technologies and frameworks relevant to AI and Python development.

Required Skills and Qualifications:

- Bachelor’s degree in Engineering, Computer Science, or a related technical discipline.
- Proven experience developing applications using Python.
- Strong understanding of data structures, algorithms, and software engineering principles.
- Excellent English communication skills, with a focus on both written and verbal proficiency.
- Demonstrated ability to work remotely and independently within a distributed team environment.
- Detail-oriented with a passion for delivering high-quality, maintainable code.
- Strong commitment to collaboration, sharing knowledge, and continuous improvement.

Preferred Qualifications:

- Experience with AI, machine learning, or data science projects.
- Familiarity with cloud platforms and deployment automation.
- Previous contributions to open-source Python projects or AI communities."
Docker developer,15,35,100,https://jobs.micro1.ai/post/371b19c8-e236-49d2-b117-bc0ef5a61727?referralCode=61d1e811-aef5-4ec1-b95e-4ddeef056fa9&utm_source=referral&utm_medium=share&utm_campaign=job_referral,,"Job Title: Docker Developer

Job Type: Contract

Location: Remote

Job Summary:

We are seeking a talented Docker Developer to join our customer’s innovative team, focusing on robust containerization and orchestration solutions for AI training applications. In this role, you will play a pivotal part in developing and optimizing Docker environments that fuel state-of-the-art AI systems, collaborating remotely with passionate engineers and stakeholders.

Key Responsibilities:

- Design, build, and maintain Docker-based infrastructure for scalable AI training workloads.
- Develop, implement, and optimize CI/CD pipelines to enhance development efficiency and deployment reliability.
- Collaborate closely with machine learning engineers and software developers to containerize applications and streamline workflows.
- Troubleshoot, diagnose, and resolve Docker-related issues to ensure seamless operations in production and development.
- Document technical processes and effectively communicate best practices to team members in both written and verbal forms.
- Continuously monitor, assess, and improve existing containerized environments for security, performance, and scalability.
- Participate in code reviews and share knowledge with fellow engineers to elevate team capabilities.

Required Skills and Qualifications:

- Minimum 2 years of professional experience developing and managing Docker environments.
- Proven expertise in creating and maintaining CI/CD pipelines using modern tools and methodologies.
- Strong written and verbal communication skills, with a commitment to clear documentation and team collaboration.
- Experience supporting or enabling AI training workflows through containerization.
- Bachelor’s degree or higher in Computer Engineering, Software Engineering, or a related field.
- Proficiency with DevOps practices and a deep understanding of container lifecycle management.
- Demonstrated ability to work effectively in a remote and distributed team setting.

Preferred Qualifications:

- Practical exposure to AI and machine learning operational pipelines.
- Experience integrating Docker with cloud platforms (e.g., AWS, GCP, Azure).
- Knowledge of container orchestration tools (e.g., Kubernetes, Docker Swarm)."
Neurologist,50,200,300,https://jobs.micro1.ai/post/58deeb8e-e6b4-44bf-94a8-865d27d1004f?referralCode=61d1e811-aef5-4ec1-b95e-4ddeef056fa9&utm_source=referral&utm_medium=share&utm_campaign=job_referral,,"Job Title: Neurologist

Job Type: Contract

Location: Remote

Job Summary

Join our customer's dynamic team as a Neurologist, leveraging your expertise to diagnose, manage, and treat a range of neurological conditions. This unique remote opportunity is part of an innovative AI training project, offering the chance to impact the future of healthcare by contributing critical clinical knowledge to advanced technology solutions. Utilize your skills in both adult and pediatric neurology while collaborating with interdisciplinary professionals in a forward-thinking digital environment.

Key Responsibilities

- Evaluate, diagnose, and manage disorders of the brain, spinal cord, and peripheral nerves, with a focus on nonsurgical interventions.
- Provide expert consultation on neurological cases for the advancement of AI models and training datasets.
- Interpret neurological assessments, imaging, and lab results to inform case analysis and AI data input.
- Collaborate closely with cross-functional teams, sharing insights and best practices in written and verbal formats.
- Contribute to the continuous improvement of AI-driven healthcare solutions by validating medical data and protocols.
- Maintain meticulous clinical documentation and case notes to support high-quality data standards.
- Offer guidance and mentorship to team members in neurological knowledge and patient care considerations.

Required Skills and Qualifications

- Medical degree (MD or DO) with board certification in Neurology.
- Current medical license with eligibility to practice.
- Experience diagnosing and managing a broad spectrum of neurological disorders in both adult and/or pediatric populations.
- Exceptional written and verbal communication skills, with a keen attention to detail.
- Strong analytical and critical-thinking abilities, especially in interpreting complex clinical data.
- Comfort working independently and collaboratively in a remote, technology-driven setting.
- Proficiency with digital health records and telemedicine platforms.

Preferred Qualifications

- Previous involvement in AI, machine learning, or clinical data annotation projects.
- Experience contributing to research, clinical trials, or innovative healthcare technologies.
- Academic or teaching background in neurology or related medical education initiatives."
